,Title,Published_date,Views,Likes,Favorite,Comments,Month
74,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12714,531,0,112,Aug
75,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10105,429,0,32,Aug
76,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,40578,1582,0,31,Aug
77,How I Learned to Learn.,2021-07-31,50623,2354,0,209,Jul
78,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10316,576,0,50,Jul
79,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2376,93,0,30,Jul
80,Why are APIs Important for Data Science?,2021-07-09,9694,449,0,95,Jul
81,Is Your Phone REALLY Listening to You?,2021-07-03,5154,280,0,116,Jul
82,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,14627,590,0,121,Jun
83,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4078,226,0,41,Jun
84,#66DaysOfData - What is it? #shorts,2021-06-11,8987,387,0,54,Jun
85,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16543,1010,0,89,Jun
86,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7423,391,0,195,May
87,How Data Science Projects Pay Off,2021-05-22,10532,594,0,146,May
88,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10501,486,0,134,May
89,What is a lambda function (python)? #shorts,2021-05-13,14974,928,0,49,May
90,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,27840,1492,0,61,May
91,What is Pandas? (Data & Data Science) #shorts,2021-04-30,23228,1185,0,87,Apr
92,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,76439,3413,0,281,Apr
93,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23387,689,0,85,Apr
94,Why You Probably Won't Become a Data Scientist,2021-04-09,136902,4016,0,480,Apr
95,How to Go From Data Analyst to Data Scientist,2021-04-02,52955,1522,0,173,Apr
96,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3964,138,0,92,Mar
97,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18134,351,0,108,Mar
98,My Regrets as a Data Science Student,2021-03-12,23839,877,0,112,Mar
99,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3822,196,0,83,Mar
100,What is the Future of my Comment Leaderboard Project?,2021-02-26,5560,201,0,81,Feb
101,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6628,173,0,51,Feb
102,Why I Quit Data Science,2021-02-12,104413,2342,0,348,Feb
103,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10632,553,0,116,Jan
104,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6988,295,0,126,Jan
105,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9513,298,0,52,Jan
106,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,22149,692,0,134,Jan
107,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,36929,1134,0,147,Jan
108,What is the #66DaysOfData?,2020-12-26,69382,2313,0,202,Dec
109,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131269,5975,0,488,Dec
110,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10801,395,0,133,Dec
111,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23385,726,0,326,Dec
112,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,27312,845,0,160,Nov
113,6 Lessons from #66DaysOfData,2020-11-13,6708,340,0,93,Nov
114,100K Channel Update + AMA Stream!,2020-11-12,2319,127,0,22,Nov
115,Find a Data Science Project With These 3 Techniques,2020-11-06,16643,722,0,106,Nov
116,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,26364,665,0,155,Oct
117,git for Data Science Made Simple... (Hopefully),2020-10-23,18942,856,0,92,Oct
118,The PODCAST you might have asked for?,2020-10-19,2109,94,0,44,Oct
119,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6711,448,0,113,Oct
120,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,13849,405,0,48,Oct
121,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6677,143,0,62,Oct
122,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,11025,554,0,83,Oct
123,Sh*t Data Scientists Say (Parody),2020-10-05,9415,575,0,143,Oct
124,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8608,366,0,93,Oct
125,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7053,289,0,61,Sep
126,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11477,290,0,69,Sep
127,5 Essential Data Science Projects for Your Portfolio,2020-09-26,71941,3083,0,208,Sep
128,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5170,196,0,64,Sep
129,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,11221,450,0,58,Sep
130,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7400,250,0,34,Sep
131,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5091,193,0,56,Sep
132,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4182,157,0,35,Sep
133,The 5 Pillars of Success I Live By,2020-09-11,10121,873,0,152,Sep
134,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1887,78,0,25,Sep
135,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4003,161,0,43,Sep
136,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11752,731,0,144,Sep
137,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17870,567,0,89,Sep
138,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,17708,790,0,93,Aug
139,Why I'm Starting Data Science Over Again.,2020-08-29,50690,2605,0,450,Aug
140,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14994,624,0,76,Aug
141,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12666,453,0,55,Aug
142,Don't Buy My Course..,2020-08-21,7326,358,0,146,Aug
143,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29014,1112,0,166,Aug
144,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3221,129,0,40,Aug
145,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6300,538,0,108,Aug
146,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4943,184,0,39,Aug
147,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,11643,372,0,53,Aug
148,The Plagiarism Problem in Data Science,2020-08-07,13035,630,0,145,Aug
149,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14340,601,0,89,Aug
150,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4884,187,0,56,Aug
151,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11311,579,0,90,Jul
152,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2307,116,0,34,Jul
153,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5573,252,0,112,Jul
154,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8181,247,0,199,Jul
155,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1851,98,0,27,Jul
156,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,28827,562,0,90,Jul
157,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,316557,7096,0,419,Jul
158,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30152,1123,0,121,Jul
159,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3614,135,0,50,Jul
160,The Best Computer for Data Science Beginners,2020-07-10,37215,844,0,157,Jul
161,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6153,229,0,82,Jul
162,Critiquing MY OWN Data Science Resume,2020-07-06,12571,396,0,88,Jul
163,Where to Start Learning Data Science,2020-07-03,18612,782,0,126,Jul
164,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4102,197,0,37,Jul
165,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4564,177,0,52,Jun
166,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16095,546,0,79,Jun
167,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2400,82,0,40,Jun
168,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2382,139,0,49,Jun
169,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4328,168,0,46,Jun
170,Why You're Struggling to Learn Data Science,2020-06-12,15212,1009,0,159,Jun
171,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11442,354,0,70,Jun
172,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,23478,679,0,146,Jun
173,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5694,156,0,53,Jun
174,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,69608,2146,0,266,May
175,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20953,489,0,81,May
176,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,53945,1931,0,178,May
177,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11230,178,0,55,May
178,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,124221,4267,0,192,May
179,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3098,146,0,115,May
180,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4494,153,0,74,May
181,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1390890,49005,0,1997,May
182,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5496,196,0,42,May
183,What You Need to Know for a Data Science Internship,2020-05-01,21312,1168,0,59,May
184,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8323,349,0,54,Apr
185,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14970,460,0,103,Apr
186,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3098,85,0,24,Apr
187,5 Tips for Crushing the Work From Home Life,2020-04-20,5396,202,0,38,Apr
188,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,20184,718,0,126,Apr
189,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,27893,707,0,98,Apr
190,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,42034,873,0,151,Apr
191,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,69478,1845,0,209,Apr
192,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,76764,1713,0,276,Apr
193,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,120115,3347,0,616,Apr
194,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,183452,4756,0,170,Apr
195,When Data Science Goes Wrong,2020-03-30,1800,105,0,32,Mar
196,How to ULTRALEARN Data Science,2020-03-27,61582,3821,0,169,Mar
197,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4379,267,0,50,Mar
198,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12695,461,0,45,Mar
199,The Secret Data Scientists Don't Want You to Know,2020-03-16,10664,1139,0,105,Mar
200,The 5 Stages of Learning Data Science,2020-03-13,17388,1297,0,78,Mar
201,Can You Learn Data Science Without a Computer?,2020-03-11,1636,109,0,14,Mar
202,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,343206,21110,0,620,Mar
203,The Data Science Projects that Got Me a Job,2020-03-06,40485,1395,0,41,Mar
204,How to Integrate Data Science into Your Business,2020-03-02,3363,127,0,18,Mar
205,The Problem with Data Science,2020-02-28,3771,154,0,19,Feb
206,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1146,46,0,16,Feb
207,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,122751,2374,0,97,Feb
208,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,322105,17641,0,523,Feb
209,Data Science Advice for College Students,2020-02-14,68727,1963,0,197,Feb
